num;question;a;b;c;d;solution;area_code;area;theme;image;Tags\
291;Warum muss man in Deutschland bei der Steuererkl\'e4rung aufschreiben, ob man zu einer Kirche geh\'f6rt oder nicht? Weil ...;das f\'fcr die Statistik in Deutschland wichtig ist.;es eine Kirchensteuer gibt, die an die Einkommen- und Lohnsteuer gekn\'fcpft ist.;man mehr Steuern zahlen muss, wenn man nicht zu einer Kirche geh\'f6rt.;die Kirche f\'fcr die Steuererkl\'e4rung verantwortlich ist.;b;politik;Politik in der Demokratie;Recht und Alltag;-;\
292;Die Menschen in Deutschland leben nach dem Grundsatz der religi\'f6sen Toleranz. Was bedeutet das?;Es d\'fcrfen keine Moscheen gebaut werden.;Alle Menschen glauben an Gott.;Jeder kann glauben, was er m\'f6chte.;Der Staat entscheidet, an welchen Gott die Menschen glauben.;c;gesellschaft;Mensch und Gesellschaft;Religi\'f6se Vielfalt;-;\
293;Was ist in Deutschland ein Brauch an Ostern?;K\'fcrbisse vor die T\'fcr stellen;einen Tannenbaum schm\'fccken;Eier bemalen;Raketen in die Luft schie\'dfen;c;gesellschaft;Mensch und Gesellschaft;Interkulturelles Zusammenleben;-;\
294;Pfingsten ist ein ...;christlicher Feiertag.;deutscher Gedenktag.;internationaler Trauertag.;bayerischer Brauch.;a;gesellschaft;Mensch und Gesellschaft;Religi\'f6se Vielfalt;-;\
295;Welche Religion hat die europ\'e4ische und deutsche Kultur gepr\'e4gt?;der Hinduismus;das Christentum;der Buddhismus;der Islam;b;gesellschaft;Mensch und Gesellschaft;Religi\'f6se Vielfalt;-;\
296;In Deutschland nennt man die letzten vier Wochen vor Weihnachten ...;den Bu\'df- und Bettag.;das Erntedankfest.;die Adventszeit.;Allerheiligen.;c;gesellschaft;Mensch und Gesellschaft;Religi\'f6se Vielfalt;-;\
297;Aus welchem Land sind die meisten Migranten / Migrantinnen nach Deutschland gekommen?;Italien;Polen;Marokko;T\'fcrkei;d;gesellschaft;Mensch und Gesellschaft;Migrationsgeschichte;-;\
298;In der DDR lebten vor allem Migranten aus ...;Vietnam, Polen, Mosambik.;Frankreich, Rum\'e4nien, Somalia.;Chile, Ungarn, Simbabwe.;Nordkorea, Mexiko, \'c4gypten.;a;gesellschaft;Mensch und Gesellschaft;Migrationsgeschichte;-;\
299;Ausl\'e4ndische Arbeitnehmer und Arbeitnehmerinnen, die in den 50er und 60er Jahren von der Bundesrepublik Deutschland angeworben wurden, nannte man ...;Schwarzarbeiter / Schwarzarbeiterinnen;Gastarbeiter / Gastarbeiterinnen;Zeitarbeiter / Zeitarbeiterinnen;Schichtarbeiter / Schichtarbeiterinnen;b;gesellschaft;Mensch und Gesellschaft;Migrationsgeschichte;-;\
300;Aus welchem Land kamen die ersten Gastarbeiter / Gastarbeiterinnen in die Bundesrepublik Deutschland?;Italien;Spanien;Portugal;T\'fcrkei;a;gesellschaft;Mensch und Gesellschaft;Migrationsgeschichte;-;\
BB-1;Welches Wappen geh\'f6rt zum Bundesland Brandenburg?;1;2;3;4;a;land;Bundesland;Brandenburg;frage_bb_1;image\
BB-2;Welches ist ein Landkreis in Brandenburg?;Prignitz;Rhein-Sieg-Kreis;Vogtlandkreis;Amberg-Sulzbach;a;land;Bundesland;Brandenburg;-;\
BB-3;F\'fcr wie viele Jahre wird der Landtag in Brandenburg gew\'e4hlt?;3;4;5;6;c;land;Bundesland;Brandenburg;-;\
BB-4;Ab welchem Alter darf man in Brandenburg bei Kommunalwahlen w\'e4hlen?;14;18;16;20;c;land;Bundesland;Brandenburg;-;\
BB-5;Welche Farben hat die Landesflagge von Brandenburg?;blau-wei\'df-rot;rot-wei\'df;gr\'fcn-wei\'df-rot;schwarz-gelb;b;land;Bundesland;Brandenburg;-;\
BB-6;Wo k\'f6nnen Sie sich in Brandenburg \'fcber politische Themen informieren?;bei den Kirchen;beim Ordnungsamt der Gemeinde;bei der Landeszentrale f\'fcr politische Bildung;bei der Verbraucherzentrale;c;land;Bundesland;Brandenburg;-;\
BB-7;Die Landeshauptstadt von Brandenburg hei\'dft ...;Potsdam.;Cottbus.;Brandenburg.;Frankfurt/Oder.;a;land;Bundesland;Brandenburg;-;\
BB-8;Welches Bundesland ist Brandenburg?;1;2;3;4;d;land;Bundesland;Brandenburg;frage_bb_8;image\
BB-9;Wie nennt man den Regierungschef / die Regierungschefin in Brandenburg?;Erster Minister / Erste Ministerin;Premierminister / Premierministerin;B\'fcrgermeister / B\'fcrgermeisterin;Ministerpr\'e4sident / Ministerpr\'e4sidentin;d;land;Bundesland;Brandenburg;-;\
BB-10;Welchen Minister / welche Ministerin hat Brandenburg nicht?;Justizminister / Justizministerin;Au\'dfenminister / Au\'dfenministerin;Finanzminister / Finanzministerin;Innenminister / Innenministerin;b;land;Bundesland;Brandenburg;-;\
BE-1;Welches Wappen geh\'f6rt zum Bundesland Berlin?;1;2;3;4;d;land;Bundesland;Berlin;frage_be_1;image\
BE-2;Welches ist ein Bezirk von Berlin?;Altona;Prignitz;Pankow;Demmin;c;land;Bundesland;Berlin;-;\
BE-3;F\'fcr wie viele Jahre wird das Landesparlament in Berlin gew\'e4hlt?;3;4;5;6;c;land;Bundesland;Berlin;-;\
BE-4;Ab welchem Alter darf man in Berlin bei Kommunalwahlen (Wahl der Bezirksverordnetenversammlung) w\'e4hlen?;14;16;18;20;b;land;Bundesland;Berlin;-;\
BE-5;Welche Farben hat die Landesflagge von Berlin?;blau-wei\'df-rot;wei\'df-rot;gr\'fcn-wei\'df-rot;schwarz-gold;b;land;Bundesland;Berlin;-;\
BE-6;Wo k\'f6nnen Sie sich in Berlin \'fcber politische Themen informieren?;beim Ordnungsamt der Gemeinde;bei den Kirchen;bei der Verbraucherzentrale;bei der Landeszentrale f\'fcr politische Bildung;d;land;Bundesland;Berlin;-;\
BE-7;Welches Bundesland ist ein Stadtstaat?;Berlin;Saarland;Brandenburg;Hessen;a;land;Bundesland;Berlin;-;\
BE-8;Welches Bundesland ist Berlin?;1;2;3;4;d;land;Bundesland;Berlin;frage_be_8;image\
BE-9;Wie nennt man den Regierungschef / die Regierungschefin des Stadtstaates Berlin?;Ministerpr\'e4sident / Ministerpr\'e4sidentin;Oberb\'fcrgermeister / Oberb\'fcrgermeisterin;Pr\'e4sident / Pr\'e4sidentin des Senats;Regierender B\'fcrgermeister / Regierende B\'fcrgermeisterin;d;land;Bundesland;Berlin;-;\
BE-10;Welchen Senator / welche Senatorin hat Berlin nicht?;Finanzsenator / Finanzsenatorin;Innensenator / Innensenatorin;Senator / Senatorin f\'fcr Au\'dfenbeziehungen;Justizsenator / Justizsenatorin;c;land;Bundesland;Berlin;-;\
BW-1;Welches Wappen geh\'f6rt zum Bundesland Baden-W\'fcrttemberg?;1;2;3;4;a;land;Bundesland;Baden-W\'fcrttemberg;frage_bw_1;image\
BW-2;Welches ist ein Landkreis in Baden-W\'fcrttemberg?;Demmin;Neckar-Odenwald-Kreis;Nordfriesland;Alt\'f6tting;b;land;Bundesland;Baden-W\'fcrttemberg;-;\
BW-3;F\'fcr wie viele Jahre wird der Landtag in Baden-W\'fcrttemberg gew\'e4hlt?;3;4;5;6;c;land;Bundesland;Baden-W\'fcrttemberg;-;\
BW-4;Ab welchem Alter darf man in Baden-W\'fcrttemberg bei Kommunalwahlen w\'e4hlen?;14;16;18;20;b;land;Bundesland;Baden-W\'fcrttemberg;-;\
BW-5;Welche Farben hat die Landesflagge von Baden-W\'fcrttemberg?;blau-wei\'df-rot;schwarz-gold;wei\'df-blau;gr\'fcn-wei\'df-rot;b;land;Bundesland;Baden-W\'fcrttemberg;-;\
BW-6;Wo k\'f6nnen Sie sich in Baden-W\'fcrttemberg \'fcber politische Themen informieren?;beim Ordnungsamt der Gemeinde;bei der Verbraucherzentrale;bei der Landeszentrale f\'fcr politische Bildung;bei den Kirchen;c;land;Bundesland;Baden-W\'fcrttemberg;-;\
BW-7;Die Landeshauptstadt von Baden-W\'fcrttemberg hei\'dft ...;Heidelberg.;Stuttgart.;Karlsruhe.;Mannheim.;b;land;Bundesland;Baden-W\'fcrttemberg;-;\
BW-8;Welches Bundesland ist Baden-W\'fcrttemberg?;1;2;3;4;b;land;Bundesland;Baden-W\'fcrttemberg;frage_bw_8;image\
BW-9;Wie nennt man den Regierungschef / die Regierungschefin in Baden-W\'fcrttemberg?;Erster Minister / Erste Ministerin;Premierminister / Premierministerin;B\'fcrgermeister / B\'fcrgermeisterin;Ministerpr\'e4sident / Ministerpr\'e4sidentin;d;land;Bundesland;Baden-W\'fcrttemberg;-;\
BW-10;Welchen Minister / welche Ministerin hat Baden-W\'fcrttemberg nicht?;Finanzminister / Finanzministerin;Justizminister / Justizministerin;Innenminister / Innenministerin;Au\'dfenminister / Au\'dfenministerin;d;land;Bundesland;Baden-W\'fcrttemberg;-;\
BY-1;Welches Wappen geh\'f6rt zum Freistaat Bayern?;1;2;3;4;b;land;Bundesland;Bayern;frage_by_1;image\
BY-2;Welches ist ein Landkreis in Bayern?;Prignitz;Rhein-Sieg-Kreis;Nordfriesland;Alt\'f6tting;d;land;Bundesland;Bayern;-;\
BY-3;F\'fcr wie viele Jahre wird der Landtag in Bayern gew\'e4hlt?;3;4;5;6;c;land;Bundesland;Bayern;-;\
BY-4;Ab welchem Alter darf man in Bayern bei Kommunalwahlen w\'e4hlen?;14;16;18;20;c;land;Bundesland;Bayern;-;\
BY-5;Welche Farben hat die Landesflagge von Bayern?;blau-wei\'df-rot;wei\'df-blau;gr\'fcn-wei\'df-rot;schwarz-gelb;b;land;Bundesland;Bayern;-;\
BY-6;Wo k\'f6nnen Sie sich in Bayern \'fcber politische Themen informieren?;beim Ordnungsamt der Gemeinde;bei der Landeszentrale f\'fcr politische Bildung;bei der Verbraucherzentrale;bei den Kirchen;b;land;Bundesland;Bayern;-;\
BY-7;Die Landeshauptstadt von Bayern hei\'dft ...;Ingolstadt.;Regensburg.;N\'fcrnberg.;M\'fcnchen.;d;land;Bundesland;Bayern;-;\
BY-8;Welches Bundesland ist Bayern?;1;2;3;4;d;land;Bundesland;Bayern;frage_by_8;image\
BY-9;Wie nennt man den Regierungschef / die Regierungschefin in Bayern?;Erster Minister / Erste Ministerin;Premierminister / Premierministerin;B\'fcrgermeister / B\'fcrgermeisterin;Ministerpr\'e4sident / Ministerpr\'e4sidentin;d;land;Bundesland;Bayern;-;\
BY-10;Welchen Minister / welche Ministerin hat Bayern nicht?;Justizminister / Justizministerin;Au\'dfenminister / Au\'dfenministerin;Finanzminister / Finanzministerin;Innenminister / Innenministerin;b;land;Bundesland;Bayern;-;\
HB-1;Welches Wappen geh\'f6rt zur Freien Hansestadt Bremen?;1;2;3;4;c;land;Bundesland;Bremen;frage_hb_1;image\
HB-2;Welches ist ein Stadtteil von Bremen?;Altona;Hemelingen;Pankow;Babelsberg;b;land;Bundesland;Bremen;-;\
HB-3;F\'fcr wie viele Jahre wird das Landesparlament in Bremen gew\'e4hlt?;3;4;5;6;b;land;Bundesland;Bremen;-;\
HB-4;Ab welchem Alter darf man in Bremen bei den Wahlen zur B\'fcrgerschaft (Landtag) w\'e4hlen?;14;16;18;20;b;land;Bundesland;Bremen;-;\
HB-5;Welche Farben hat die Landesflagge von Bremen?;blau-wei\'df-rot;rot-wei\'df;gr\'fcn-wei\'df-rot;schwarz-gold;b;land;Bundesland;Bremen;-;\
HB-6;Wo k\'f6nnen Sie sich in Bremen \'fcber politische Themen informieren?;beim Ordnungsamt der Gemeinde;bei der Landeszentrale f\'fcr politische Bildung;bei den Kirchen;bei der Verbraucherzentrale;b;land;Bundesland;Bremen;-;\
HB-7;Was ist ein deutscher Stadtstaat?;Bremen;M\'fcnchen;Frankfurt;Erfurt;a;land;Bundesland;Bremen;-;\
HB-8;Welches Bundesland ist Bremen?;1;2;3;4;a;land;Bundesland;Bremen;frage_hb_8;image\
HB-9;Wie nennt man den Regierungschef / die Regierungschefin des Stadtstaates Bremen?;Ministerpr\'e4sident / Ministerpr\'e4sidentin;Erster B\'fcrgermeister / Erste B\'fcrgermeisterin;Pr\'e4sident / Pr\'e4sidentin des Senats;Regierender B\'fcrgermeister / Regierende B\'fcrgermeisterin;c;land;Bundesland;Bremen;-;\
HB-10;Welchen Senator / welche Senatorin hat Bremen nicht?;Senator / Senatorin f\'fcr Au\'dfenbeziehungen;Finanzsenator / Finanzsenatorin;Justizsenator / Justizsenatorin;Innensenator / Innensenatorin;a;land;Bundesland;Bremen;-;\
HE-1;Welches Wappen geh\'f6rt zum Bundesland Hessen?;1;2;3;4;a;land;Bundesland;Hessen;frage_he_1;image\
HE-2;Welches ist ein Landkreis in Hessen?;Ammerland;Alt\'f6tting;Prignitz;Main-Taunus-Kreis;d;land;Bundesland;Hessen;-;\
HE-3;F\'fcr wie viele Jahre wird der Landtag in Hessen gew\'e4hlt?;3;4;5;6;c;land;Bundesland;Hessen;-;\
HE-4;Ab welchem Alter darf man in Hessen bei Kommunalwahlen w\'e4hlen?;14;16;18;20;c;land;Bundesland;Hessen;-;\
HE-5;Welche Farben hat die Landesflagge von Hessen?;blau-wei\'df-rot;rot-wei\'df;schwarz-gold;gr\'fcn-wei\'df-rot;b;land;Bundesland;Hessen;-;\
HE-6;Wo k\'f6nnen Sie sich in Hessen \'fcber politische Themen informieren?;bei der Landeszentrale f\'fcr politische Bildung;bei der Verbraucherzentrale;beim Ordnungsamt der Gemeinde;bei den Kirchen;a;land;Bundesland;Hessen;-;\
HE-7;Die Landeshauptstadt von Hessen hei\'dft ...;Kassel.;Darmstadt.;Frankfurt.;Wiesbaden.;d;land;Bundesland;Hessen;-;\
HE-8;Welches Bundesland ist Hessen?;1;2;3;4;c;land;Bundesland;Hessen;frage_he_8;image\
HE-9;Wie nennt man den Regierungschef / die Regierungschefin in Hessen?;Erster Minister / Erste Ministerin;Premierminister / Premierministerin;B\'fcrgermeister / B\'fcrgermeisterin;Ministerpr\'e4sident / Ministerpr\'e4sidentin;d;land;Bundesland;Hessen;-;\
HE-10;Welchen Minister / welche Ministerin hat Hessen nicht?;Justizminister / Justizministerin;Au\'dfenminister / Au\'dfenministerin;Finanzminister / Finanzministerin;Innenminister / Innenministerin;b;land;Bundesland;Hessen;-;\
HH-1;Welches Wappen geh\'f6rt zur Freien und Hansestadt Hamburg?;1;2;3;4;b;land;Bundesland;Hamburg;frage_hh_1;image\
HH-2;Welches ist ein Bezirk von Hamburg?;Altona;Hemelingen;Pankow;Demmin;a;land;Bundesland;Hamburg;-;\
HH-3;F\'fcr wie viele Jahre wird das Landesparlament in Hamburg gew\'e4hlt?;3;4;5;6;c;land;Bundesland;Hamburg;-;\
HH-4;Ab welchem Alter darf man in Hamburg bei Kommunalwahlen (Wahl der Bezirksversammlungen) w\'e4hlen?;14;16;18;20;b;land;Bundesland;Hamburg;-;\
HH-5;Welche Farben hat die Landesflagge von Hamburg?;blau-wei\'df-rot;wei\'df-rot;gr\'fcn-wei\'df-rot;schwarz-gelb;b;land;Bundesland;Hamburg;-;\
HH-6;Wo k\'f6nnen Sie sich in Hamburg \'fcber politische Themen informieren?;beim Ordnungsamt der Gemeinde;bei der Verbraucherzentrale;bei den Kirchen;bei der Landeszentrale f\'fcr politische Bildung;d;land;Bundesland;Hamburg;-;\
HH-7;Welches Bundesland ist ein Stadtstaat?;Hamburg;Sachsen;Bayern;Th\'fcringen;a;land;Bundesland;Hamburg;-;\
HH-8;Welches Bundesland ist Hamburg?;1;2;3;4;c;land;Bundesland;Hamburg;frage_hh_8;image\
HH-9;Wie nennt man den Regierungschef / die Regierungschefin des Stadtstaates Hamburg?;Ministerpr\'e4sident / Ministerpr\'e4sidentin;Erster B\'fcrgermeister / Erste B\'fcrgermeisterin;Regierender Senator / Regierende Senatorin;Oberb\'fcrgermeister / Oberb\'fcrgermeisterin;b;land;Bundesland;Hamburg;-;\
HH-10;Welchen Senator / welche Senatorin hat Hamburg nicht?;Justizsenator / Justizsenatorin;Senator / Senatorin f\'fcr Au\'dfenbeziehungen;Finanzsenator / Finanzsenatorin;Innensenator / Innensenatorin;b;land;Bundesland;Hamburg;-;\
MV-1;Welches Wappen geh\'f6rt zum Bundesland Mecklenburg-Vorpommern?;1;2;3;4;c;land;Bundesland;Mecklenburg-Vorpommern;frage_mv_1;image\
MV-2;Welches ist ein Landkreis in Mecklenburg-Vorpommern?;Prignitz;Mecklenburgische Seenplatte;Vogtlandkreis;Rhein-Sieg-Kreis;b;land;Bundesland;Mecklenburg-Vorpommern;-;\
MV-3;F\'fcr wie viele Jahre wird der Landtag in Mecklenburg-Vorpommern gew\'e4hlt?;3;4;5;6;c;land;Bundesland;Mecklenburg-Vorpommern;-;\
MV-4;Ab welchem Alter darf man in Mecklenburg-Vorpommern bei Kommunalwahlen w\'e4hlen?;14;16;18;20;b;land;Bundesland;Mecklenburg-Vorpommern;-;\
MV-5;Welche Farben hat die Landesflagge von Mecklenburg-Vorpommern?;schwarz-rot-gold;blau-wei\'df-gelb-rot;gr\'fcn-wei\'df-rot;schwarz-gelb;b;land;Bundesland;Mecklenburg-Vorpommern;-;\
MV-6;Wo k\'f6nnen Sie sich in Mecklenburg-Vorpommern \'fcber politische Themen informieren?;bei der Landeszentrale f\'fcr politische Bildung;bei den Kirchen;beim Ordnungsamt der Gemeinde;bei der Verbraucherzentrale;a;land;Bundesland;Mecklenburg-Vorpommern;-;\
MV-7;Die Landeshauptstadt von Mecklenburg-Vorpommern hei\'dft ...;Greifswald.;Schwerin.;Rostock.;Wismar.;b;land;Bundesland;Mecklenburg-Vorpommern;-;\
MV-8;Welches Bundesland ist Mecklenburg-Vorpommern?;1;2;3;4;c;land;Bundesland;Mecklenburg-Vorpommern;frage_mv_8;image\
MV-9;Wie nennt man den Regierungschef / die Regierungschefin in Mecklenburg-Vorpommern?;Erster Minister / Erste Ministerin;Premierminister / Premierministerin;B\'fcrgermeister / B\'fcrgermeisterin;Ministerpr\'e4sident / Ministerpr\'e4sidentin;d;land;Bundesland;Mecklenburg-Vorpommern;-;\
MV-10;Welchen Minister / welche Ministerin hat Mecklenburg-Vorpommern nicht?;Justizminister / Justizministerin;Au\'dfenminister / Au\'dfenministerin;Finanzminister / Finanzministerin;Innenminister / Innenministerin;b;land;Bundesland;Mecklenburg-Vorpommern;-;\
NI-1;Welches Wappen geh\'f6rt zum Bundesland Niedersachsen?;1;2;3;4;c;land;Bundesland;Niedersachsen;frage_ni_1;image\
NI-2;Welches ist ein Landkreis in Niedersachsen?;Ammerland;Rhein-Sieg-Kreis;Nordfriesland;Vogtlandkreis;a;land;Bundesland;Niedersachsen;-;\
NI-3;F\'fcr wie viele Jahre wird der Landtag in Niedersachsen gew\'e4hlt?;3;4;5;6;c;land;Bundesland;Niedersachsen;-;\
NI-4;Ab welchem Alter darf man in Niedersachsen bei Kommunalwahlen w\'e4hlen?;14;16;18;20;b;land;Bundesland;Niedersachsen;-;\
NI-5;Welche Farben hat die Landesflagge von Niedersachsen?;rot-wei\'df;schwarz-rot-gold;schwarz-gelb;blau-wei\'df-rot;b;land;Bundesland;Niedersachsen;-;\
NI-6;Wo k\'f6nnen Sie sich in Niedersachsen \'fcber politische Themen informieren?;beim Koordinator f\'fcr politische Bildung im Kultusministerium;beim Ordnungsamt der Gemeinde;bei der Verbraucherzentrale;bei den Kirchen;a;land;Bundesland;Niedersachsen;-;\
NI-7;Die Landeshauptstadt von Niedersachsen hei\'dft ...;Hannover.;Braunschweig.;Wolfsburg.;Osnabr\'fcck.;a;land;Bundesland;Niedersachsen;-;\
NI-8;Welches Bundesland ist Niedersachsen?;1;2;3;4;a;land;Bundesland;Niedersachsen;frage_ni_8;image\
NI-9;Wie nennt man den Regierungschef / die Regierungschefin in Niedersachsen?;Erster Minister / Erste Ministerin;Premierminister / Premierministerin;B\'fcrgermeister / B\'fcrgermeisterin;Ministerpr\'e4sident / Ministerpr\'e4sidentin;d;land;Bundesland;Niedersachsen;-;\
NI-10;Welchen Minister / welche Ministerin hat Niedersachsen nicht?;Justizminister / Justizministerin;Au\'dfenminister / Au\'dfenministerin;Finanzminister / Finanzministerin;Innenminister / Innenministerin;b;land;Bundesland;Niedersachsen;-;\
NW-1;Welches Wappen geh\'f6rt zum Bundesland Nordrhein-Westfalen?;1;2;3;4;b;land;Bundesland;Nordrhein-Westfalen;frage_nw_1;image\
NW-2;Welches ist ein Landkreis in Nordrhein-Westfalen?;Ammerland;Rhein-Sieg-Kreis;Nordfriesland;Vogtlandkreis;b;land;Bundesland;Nordrhein-Westfalen;-;\
NW-3;F\'fcr wie viele Jahre wird der Landtag in Nordrhein-Westfalen gew\'e4hlt?;3;4;5;6;c;land;Bundesland;Nordrhein-Westfalen;-;\
NW-4;Ab welchem Alter darf man in Nordrhein-Westfalen bei Kommunalwahlen w\'e4hlen?;14;16;18;20;b;land;Bundesland;Nordrhein-Westfalen;-;\
NW-5;Welche Farben hat die Landesflagge von Nordrhein-Westfalen?;rot-wei\'df;gr\'fcn-wei\'df-rot;schwarz-gold;blau-wei\'df-rot;b;land;Bundesland;Nordrhein-Westfalen;-;\
NW-6;Wo k\'f6nnen Sie sich in Nordrhein-Westfalen \'fcber politische Themen informieren?;bei den Kirchen;beim Ordnungsamt der Gemeinde;bei der Verbraucherzentrale;bei der Landeszentrale f\'fcr politische Bildung;d;land;Bundesland;Nordrhein-Westfalen;-;\
NW-7;Die Landeshauptstadt von Nordrhein-Westfalen hei\'dft ...;K\'f6ln.;Bonn.;D\'fcsseldorf.;Dortmund.;c;land;Bundesland;Nordrhein-Westfalen;-;\
NW-8;Welches Bundesland ist Nordrhein-Westfalen?;1;2;3;4;c;land;Bundesland;Nordrhein-Westfalen;frage_nw_8;image\
NW-9;Wie nennt man den Regierungschef / die Regierungschefin in Nordrhein-Westfalen?;Erster Minister / Erste Ministerin;Premierminister / Premierministerin;B\'fcrgermeister / B\'fcrgermeisterin;Ministerpr\'e4sident / Ministerpr\'e4sidentin;d;land;Bundesland;Nordrhein-Westfalen;-;\
NW-10;Welchen Minister / welche Ministerin hat Nordrhein-Westfalen nicht?;Justizminister / Justizministerin;Au\'dfenminister / Au\'dfenministerin;Finanzminister / Finanzministerin;Innenminister / Innenministerin;b;land;Bundesland;Nordrhein-Westfalen;-;\
RP-1;Welches Wappen geh\'f6rt zum Bundesland Rheinland-Pfalz?;1;2;3;4;a;land;Bundesland;Rheinland-Pfalz;frage_rp_1;image\
RP-2;Welches ist ein Landkreis in Rheinland-Pfalz?;Westerwaldkreis;Alt\'f6tting;Emsland;Prignitz;a;land;Bundesland;Rheinland-Pfalz;-;\
RP-3;F\'fcr wie viele Jahre wird der Landtag in Rheinland-Pfalz gew\'e4hlt?;3;4;5;6;c;land;Bundesland;Rheinland-Pfalz;-;\
RP-4;Ab welchem Alter darf man in Rheinland-Pfalz bei Kommunalwahlen w\'e4hlen?;14;16;18;20;c;land;Bundesland;Rheinland-Pfalz;-;\
RP-5;Welche Farben hat die Landesflagge von Rheinland-Pfalz?;wei\'df-rot;schwarz-rot-gold;schwarz-gelb;gr\'fcn-wei\'df-rot;b;land;Bundesland;Rheinland-Pfalz;-;\
RP-6;Wo k\'f6nnen Sie sich in Rheinland-Pfalz \'fcber politische Themen informieren?;bei den Kirchen;bei der Verbraucherzentrale;beim Ordnungsamt der Gemeinde;bei der Landeszentrale f\'fcr politische Bildung;d;land;Bundesland;Rheinland-Pfalz;-;\
RP-7;Die Landeshauptstadt von Rheinland-Pfalz hei\'dft ...;Mainz.;Kaiserslautern.;Ludwigshafen.;Koblenz.;a;land;Bundesland;Rheinland-Pfalz;-;\
RP-8;Welches Bundesland ist Rheinland-Pfalz?;1;2;3;4;a;land;Bundesland;Rheinland-Pfalz;frage_rp_8;image\
RP-9;Wie nennt man den Regierungschef / die Regierungschefin in Rheinland-Pfalz?;Erster Minister / Erste Ministerin;Premierminister / Premierministerin;B\'fcrgermeister / B\'fcrgermeisterin;Ministerpr\'e4sident / Ministerpr\'e4sidentin;d;land;Bundesland;Rheinland-Pfalz;-;\
RP-10;Welchen Minister / welche Ministerin hat Rheinland-Pfalz nicht?;Justizminister / Justizministerin;Au\'dfenminister / Au\'dfenministerin;Finanzminister / Finanzministerin;Innenminister / Innenministerin;b;land;Bundesland;Rheinland-Pfalz;-;\
SH-1;Welches Wappen geh\'f6rt zum Bundesland Schleswig-Holstein?;1;2;3;4;c;land;Bundesland;Schleswig-Holstein;frage_sh_1;image\
SH-2;Welches ist ein Landkreis in Schleswig-Holstein?;Ammerland;Demmin;Nordfriesland;Rhein-Sieg-Kreis;c;land;Bundesland;Schleswig-Holstein;-;\
SH-3;F\'fcr wie viele Jahre wird der Landtag in Schleswig-Holstein gew\'e4hlt?;3;4;5;6;c;land;Bundesland;Schleswig-Holstein;-;\
SH-4;Ab welchem Alter darf man in Schleswig-Holstein bei Kommunalwahlen w\'e4hlen?;14;16;18;20;b;land;Bundesland;Schleswig-Holstein;-;\
SH-5;Welche Farben hat die Landesflagge von Schleswig-Holstein?;wei\'df-blau;blau-wei\'df-rot;wei\'df-rot;gr\'fcn-wei\'df-rot;b;land;Bundesland;Schleswig-Holstein;-;\
SH-6;Wo k\'f6nnen Sie sich in Schleswig-Holstein \'fcber politische Themen informieren?;bei der Verbraucherzentrale;beim Ordnungsamt der Gemeinde;bei der Landeszentrale f\'fcr politische Bildung;bei den Kirchen;c;land;Bundesland;Schleswig-Holstein;-;\
SH-7;Die Landeshauptstadt von Schleswig-Holstein hei\'dft ...;Husum.;Flensburg.;L\'fcbeck.;Kiel.;d;land;Bundesland;Schleswig-Holstein;-;\
SH-8;Welches Bundesland ist Schleswig-Holstein?;1;2;3;4;a;land;Bundesland;Schleswig-Holstein;frage_sh_8;image\
SH-9;Wie nennt man den Regierungschef / die Regierungschefin in Schleswig-Holstein?;Erster Minister / Erste Ministerin;Premierminister / Premierministerin;B\'fcrgermeister / B\'fcrgermeisterin;Ministerpr\'e4sident / Ministerpr\'e4sidentin;d;land;Bundesland;Schleswig-Holstein;-;\
SH-10;Welchen Minister / welche Ministerin hat Schleswig-Holstein nicht?;Justizminister / Justizministerin;Au\'dfenminister / Au\'dfenministerin;Finanzminister / Finanzministerin;Innenminister / Innenministerin;b;land;Bundesland;Schleswig-Holstein;-;\
SL-1;Welches Wappen geh\'f6rt zum Bundesland Saarland?;1;2;3;4;d;land;Bundesland;Saarland;frage_sl_1;image\
SL-2;Welches ist ein Landkreis im Saarland?;Demmin;Alt\'f6tting;Neunkirchen;Rhein-Sieg-Kreis;c;land;Bundesland;Saarland;-;\
SL-3;F\'fcr wie viele Jahre wird der Landtag des Saarlandes gew\'e4hlt?;3;4;5;6;c;land;Bundesland;Saarland;-;\
SL-4;Ab welchem Alter darf man im Saarland bei Kommunalwahlen w\'e4hlen?;14;16;18;20;c;land;Bundesland;Saarland;-;\
SL-5;Welche Farben hat die Landesflagge des Saarlandes?;wei\'df-blau;schwarz-rot-gold;schwarz-gelb;gr\'fcn-wei\'df-rot;b;land;Bundesland;Saarland;-;\
SL-6;Wo k\'f6nnen Sie sich im Saarland \'fcber politische Themen informieren?;bei den Kirchen;bei der Landeszentrale f\'fcr politische Bildung;bei der Verbraucherzentrale;beim Ordnungsamt der Gemeinde;b;land;Bundesland;Saarland;-;\
SL-7;Die Landeshauptstadt des Saarlandes hei\'dft ...;Neunkirchen.;Homburg.;Saarbr\'fccken.;V\'f6lklingen.;c;land;Bundesland;Saarland;-;\
SL-8;Welches Bundesland ist das Saarland?;1;2;3;4;b;land;Bundesland;Saarland;frage_sl_8;image\
SL-9;Wie nennt man den Regierungschef / die Regierungschefin des Saarlandes?;Erster Minister / Erste Ministerin;Premierminister / Premierministerin;B\'fcrgermeister / B\'fcrgermeisterin;Ministerpr\'e4sident / Ministerpr\'e4sidentin;d;land;Bundesland;Saarland;-;\
